participant_id,gender,age,year in program,pap_1,mav_5,map_1,mav_1,pav_1,pap_2,map_2,mav_2,pav_2,pap_3,mav_6,map_3,mav_3,pav_3,pap_4,map_4,mav_7,mav_4,pav_4,engage_1,exh_1_RC,engage_2,engage_3,engage_4,exh_2_RC,exh_6_RC,exh_8,exh_3,engage_5_RC,exh_5,engage_6_RC,engage_7_RC,exh_7,engage_8_RC,exh_4_RC,sc_1_RC,sc_2,sc_3,sc_4_RC,sc_5,sc_6,sc_7,sc_8_RC,sc_9_RC,sc_10,sc_11_RC,sc_12_RC,auto_1,auto_2,auto_3,auto_4,compet_1,compet_2,compet_3,compet_4,relat_1,relat_2,relat_3,relat_4,exercise_mild,exercise_mod,exercise_str,auto,compet,engage,exercise,exh,map,mav,pap,pav,relat,sc
18,female,20-24,1,5,6,5,6,6,5,5,7,7,5,3,5,5,5,3,5,5,3,5,4,2,4,4,3,2,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3,4,4,2,1,4,3,3,4,5,5,4,5,4,5,5,5,5,5,5,2,1,1,18,19,27,4,21,20,35,18,23,20,37
19,male,20-24,1,5,5,6,7,5,5,3,3,5,5,3,5,3,2,4,5,6,5,5,4,2,4,3,3,3,3,2,2,3,3,3,4,3,3,2,2,4,4,4,3,4,4,4,3,4,4,4,4,5,6,5,6,4,5,5,5,5,6,5,1,1,1,20,20,27,3,20,19,32,19,17,21,44
20,female,20-24,1,7,6,5,6,4,7,6,4,4,7,5,6,2,4,4,5,4,4,3,3,2,2,3,4,2,2,2,2,3,2,2,3,3,3,2,2,4,5,2,5,5,3,2,1,4,2,2,4,4,5,5,5,4,5,4,3,3,3,3,0,0,0,18,18,23,0,17,22,31,25,15,12,37
21,female,20-24,1,6,6,5,5,6,7,7,4,5,6,2,7,2,2,5,6,4,2,2,4,1,4,4,4,1,3,2,2,4,1,4,4,3,3,1,3,3,3,3,2,2,4,2,2,2,2,4,4,5,6,5,6,6,5,5,5,4,5,4,1,1,1,20,22,31,3,14,25,25,24,15,18,32
22,female,20-24,1,6,5,5,7,5,4,6,5,5,5,5,5,4,3,4,6,4,5,4,4,1,4,4,4,2,3,4,2,3,4,3,4,3,3,2,3,3,4,2,2,2,4,2,2,4,3,3,4,5,5,5,6,6,5,5,5,5,5,5,3,1,1,19,22,29,5,21,22,35,19,17,20,34
23,male,20-24,1,5,5,5,6,3,4,6,3,3,3,3,7,5,3,2,5,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,3,4,3,4,4,4,4,2,4,2,2,3,5,4,5,5,3,5,4,5,5,5,5,1,0,0,17,17,23,1,20,23,28,14,12,20,38
24,female,20-24,1,5,5,5,7,3,3,5,5,5,3,4,6,4,3,3,5,5,3,3,3,2,2,4,4,2,3,2,3,3,2,2,3,4,3,2,2,4,5,4,4,4,4,3,2,5,4,4,4,4,4,3,4,3,4,4,5,5,5,4,2,1,1,15,15,24,4,20,21,33,14,14,19,45
25,male,20-24,1,5,5,4,5,3,3,6,2,3,4,2,6,2,2,2,7,1,5,2,3,2,2,4,3,2,2,3,3,3,3,3,2,3,3,2,4,4,4,4,4,2,3,3,4,2,2,3,5,5,5,5,5,5,5,5,5,5,3,4,2,2,2,20,20,23,6,20,23,22,14,10,17,39
26,female,20-24,1,5,6,4,7,5,6,5,5,7,6,5,5,3,5,4,4,5,5,6,3,2,4,3,3,2,3,3,3,3,3,4,4,3,3,2,2,2,4,4,3,3,4,5,3,4,3,5,4,4,5,4,4,4,4,4,4,4,4,5,0,0,2,17,16,27,2,21,18,36,21,23,17,42
27,female,20-24,1,5,5,5,6,7,7,6,7,7,7,5,6,2,3,5,5,6,5,2,3,2,2,4,3,3,4,3,4,2,4,2,3,4,3,3,1,1,3,1,1,2,3,2,2,1,3,3,2,5,6,3,6,4,6,4,3,4,3,4,1,0,0,16,20,22,1,27,22,36,24,19,14,23
